id,created_at,text
1209474602214330368,2019-12-24 14:03:10,"b'Download our latest brochure to learn how EPAM Cloud Pipeline helps to streamline the genomics analysis, modeling a\xe2\x80\xa6 https://t.co/TSx3VfCGxJ'"
1209459249371320320,2019-12-24 13:02:10,"b'In this blog, we share an extensive guide to loyalty programs and what \xe2\x80\x9cloyalty\xe2\x80\x9d actually means to your customers.\xe2\x80\xa6 https://t.co/5HlhxM70Ky'"
1209428901803495424,2019-12-24 11:01:34,"b'#LiquidityManagement is undergoing seismic change, and understanding the journey is key to success. Download our wh\xe2\x80\xa6 https://t.co/Gy99WjaJkL'"
1209156776278593539,2019-12-23 17:00:15,"b'This year, EPAM partnered with the Message of Hope Foundation, an organization that seeks to bring joy to children\xe2\x80\xa6 https://t.co/srpGHvBeP8'"
1209127348962025476,2019-12-23 15:03:19,"b'At #BioProcess International US 2019, @BiotechWkBoston interviewed EPAM\xe2\x80\x99s Jeff Kim about how we help #LifeSciences\xe2\x80\xa6 https://t.co/qYT3MJD0Ay'"
1209112216726917122,2019-12-23 14:03:11,"b'.@agorokh, Head of Google Competency at EPAM, shares with @CRN how Anthos\xe2\x80\x99 exciting new features can benefit its cu\xe2\x80\xa6 https://t.co/oAeGJoa7YE'"
1209096915092148224,2019-12-23 13:02:23,b'We\xe2\x80\x99re happily reflecting on our time at TU-Automotive Europe and looking forward to our next stop at #CES2020 in La\xe2\x80\xa6 https://t.co/lrKUQqezmC'
1209086285937364992,2019-12-23 12:20:08,b'Having a strong #WorkforceManagement and planning tool is critical to solving a number of organizational challenges\xe2\x80\xa6 https://t.co/0eaekW8O1q'
1209083394845499392,2019-12-23 12:08:39,b'The holiday season is here! Take a look at our new infographic to learn more about how you can be more sustainable\xe2\x80\xa6 https://t.co/yzdUDgie6t'
1209066528190140421,2019-12-23 11:01:38,b'EPAM has a proven track record of creating enterprise-level digital solutions for leading companies around the worl\xe2\x80\xa6 https://t.co/FmVvp7rXTN'
1208055160876027910,2019-12-20 16:02:49,b'The future of #retail is everything smart. How can apparel companies embrace this future and evolve from a business\xe2\x80\xa6 https://t.co/pO7NIIMjLm'
1208040161533218816,2019-12-20 15:03:13,b'While the possibilities for #automotive are exciting and the technologies and approaches are becoming more advanced\xe2\x80\xa6 https://t.co/QloAVwktYO'
1208025031495868417,2019-12-20 14:03:06,b'We delivered an @awscloud solution to address @tipico\xe2\x80\x99s business challenges by helping the company better manage pe\xe2\x80\xa6 https://t.co/Omjiu4qcM3'
1208009738887352323,2019-12-20 13:02:20,b'China\xe2\x80\x99s ever-expanding consumer population provides a robust environment for new products and services to take root\xe2\x80\xa6 https://t.co/R2nT3fqWdP'
1207994510057361410,2019-12-20 12:01:49,"b'EPAM\xe2\x80\x99s Alex Agizim, CTO of our Automotive &amp; Embedded Practice, shares the top #trends to expect for the\xe2\x80\xa6 https://t.co/fe8Aez2FeJ'"
1207979075895255042,2019-12-20 11:00:29,"b'EPAM developed a solution to integrate @salesforce #HealthCloud with @Sitecore Experience Platform\xe2\x84\xa2, offering\xe2\x80\xa6 https://t.co/ZeHojBn8Ey'"
1207707982194249728,2019-12-19 17:03:15,b'Check out key success factors derived from the first wave of #digitaltransformation programs run by\xe2\x80\xa6 https://t.co/pKp1J3d8HY'
1207692699505221632,2019-12-19 16:02:32,"b'Our #Headless Commerce Accelerator for Sitecore Experience Commerce\xe2\x84\xa2 is the first open source, headless solution of\xe2\x80\xa6 https://t.co/6u4QgvtaRX'"
1207677195864465409,2019-12-19 15:00:55,b'Read this @LifeSciLeader1 article by EPAM @_Continuum\xe2\x80\x99s Broderick Jones to learn how #IA coupled with other tech so\xe2\x80\xa6 https://t.co/3pYaQv8sky'
1207662615272534016,2019-12-19 14:02:59,"b'In this article, we explore how embracing #DataAnalytics in #OCM can help enhance user adoption, while reducing cha\xe2\x80\xa6 https://t.co/M3HMAi1QDn'"
1207647402137665536,2019-12-19 13:02:32,"b'Google Cloud has added new managed service mesh and serverless capabilities for Anthos, its hybrid and multi-cloud\xe2\x80\xa6 https://t.co/LXcD5kudme'"
1207624207426867202,2019-12-19 11:30:22,"b'This year, we encourage you to think outside of the boxes, ribbons, and gift wrap and consider how you can reduce y\xe2\x80\xa6 https://t.co/0WpvUbALMv'"
1207330305033613313,2019-12-18 16:02:30,"b'In an upcoming webinar, @forrester clients can glean key findings from The Forrester Wave\xe2\x84\xa2: SAP Services Providers\xe2\x80\xa6 https://t.co/FO4I0ZBaPI'"
1207315388016541696,2019-12-18 15:03:13,b'Improved patient data collection at the clinical trial level is just one example of how master data management can\xe2\x80\xa6 https://t.co/HFNvBTo8Lo'
1207300253424259072,2019-12-18 14:03:05,"b'By enabling search and #textanalytics on social media content, customer reviews and customer phone calls, enterpris\xe2\x80\xa6 https://t.co/tepnVEs0nV'"
1207269804958195712,2019-12-18 12:02:06,"b'Four headless commerce ecosystem partners, including EPAM, have combined their expertise for a new playbook that he\xe2\x80\xa6 https://t.co/YqpHX9HMBO'"
1207012782383751168,2019-12-17 19:00:47,"b'Meet Shamilka, Global Head of Social Responsibility at EPAM. She designs programs that positively impact those most\xe2\x80\xa6 https://t.co/ZgSL7slhLH'"
1206997995230781440,2019-12-17 18:02:01,b'Want to learn more about career opportunities with EPAM? Visit us at @UofTHacks on January 17-19 at the Bahen Cente\xe2\x80\xa6 https://t.co/YDNEceU1Cf'
1206982679629045760,2019-12-17 17:01:10,"b'For the second consecutive year, EPAM was recognized by @gartner for our application testing services. Subscribers\xe2\x80\xa6 https://t.co/7BU2xr2LyT'"
1206967940656046083,2019-12-17 16:02:36,"b'Ken Gordon, Principal Communications Specialist at @_Continuum, sat down with \xe2\x80\x98Seeing Around Corners\xe2\x80\x99 author Rita M\xe2\x80\xa6 https://t.co/zFihIc9sPb'"
1206953034657517569,2019-12-17 15:03:22,b'Curious how #BigData can be used in modern agriculture? Read this article from our partner @onesoilplatform: https://t.co/074uTi5X0M'
1206937770477969408,2019-12-17 14:02:42,"b'In addition to the pain of having to build and maintain disparate or makeshift solutions, there are several other c\xe2\x80\xa6 https://t.co/FoucQudAUh'"
1206922551210975240,2019-12-17 13:02:14,"b'\xe2\x80\x9cEPAM\xe2\x80\x99s culture is evolving to accommodate new types of people, backgrounds and skills.\xe2\x80\x9d Read the full interview wi\xe2\x80\xa6 https://t.co/Sy8jQ99Bpc'"
1206620236633513985,2019-12-16 17:00:56,b'Food delivery companies see the opportunity for a new business model. It\xe2\x80\x99s exciting and lucrative but the reality i\xe2\x80\xa6 https://t.co/rJ0rNPtkrQ'
1206605099604303873,2019-12-16 16:00:48,b'Download our brochure to explore EPAM\xe2\x80\x99s solutions for transforming your #EnterpriseAssetManagement (EAM) programs a\xe2\x80\xa6 https://t.co/QWJm4Bz2lG'
1206590494811275270,2019-12-16 15:02:45,b'Deploying #IA technologies has serious potential to improve patient satisfaction in #lifesciences commercial operat\xe2\x80\xa6 https://t.co/ZAUFgP6xNr'
1206584715999875072,2019-12-16 14:39:48,b'RT @Parasoft: Take a look at Adam Auerbach (@Bugman31) of @EPAMSYSTEMS as he discusses the importance of UI  #TestAutomation for customer-f\xe2\x80\xa6'
1206575455379304448,2019-12-16 14:03:00,"b'If you\xe2\x80\x99re looking to partner with an external #Blockchain service provider, you can use @gartner\xe2\x80\x99s Market Guide for\xe2\x80\xa6 https://t.co/Shy0Uq8F7x'"
1206571071106887682,2019-12-16 13:45:35,b'Check out this video from #SitecoreSym where our own Dean Thrasher presented with @Lowe_Canada\xe2\x80\x99s Tanbir Grover to s\xe2\x80\xa6 https://t.co/mRzLyS6aOr'
1206560202864177154,2019-12-16 13:02:23,"b'Google Cloud has added new managed service mesh and serverless capabilities for Anthos, its hybrid and multi-cloud\xe2\x80\xa6 https://t.co/v8Qx03CjWE'"
1206544997035790337,2019-12-16 12:01:58,"b'We\xe2\x80\x99ve acquired NAYA Technologies. NAYA\xe2\x80\x99s #BigData, #SoftwareDevelopment and #CloudMigration expertise further enhan\xe2\x80\xa6 https://t.co/soqdRxkixQ'"
1206258020201746437,2019-12-15 17:01:37,b'What could the #healthcare landscape look like if #TechGiants start entering #provider territory? Learn more: https://t.co/jXEfrYDXFt'
1206212712780443648,2019-12-15 14:01:35,b'Looking to explore what it will take to make banking truly frictionless? Watch this @Finextra interview where EPAM\xe2\x80\x99\xe2\x80\xa6 https://t.co/IY2laJWuqh'
1205503341872238593,2019-12-13 15:02:48,"b'In part two of our blog series on how intelligent automation is reshaping revenue cycle management, we focus on the\xe2\x80\xa6 https://t.co/jc6UiBVhT4'"
1205496456033030144,2019-12-13 14:35:26,"b'RT @TheActFramework: We are super excited that @Accenture, along with @Tricentis , @EPAMSYSTEMS , @Lemontree and others are now a partner o\xe2\x80\xa6'"
1205488219002937346,2019-12-13 14:02:42,"b'Using #hypervisors can help accelerate business value for the industry, as #automotive companies can isolate the sa\xe2\x80\xa6 https://t.co/dVNcaYT9qf'"
1205473022372659200,2019-12-13 13:02:19,b'EPAM worked with BMI Group to develop a next-gen commercial site that provided the flexibility and extensibility ne\xe2\x80\xa6 https://t.co/ECWgsf4X78'
1205457515137372160,2019-12-13 12:00:42,"b'Looking to 2020, here are the top 5 #trends to expect for the #AutomotiveIndustry: https://t.co/Z6Bc16krS6'"
1205141030275862530,2019-12-12 15:03:06,b'Check out @Bugman31\xe2\x80\x99s tips on how #TestAutomation should be implemented to help improve productivity and get tangib\xe2\x80\xa6 https://t.co/a1tKU9CZqF'
1205125872455426048,2019-12-12 14:02:52,"b'EPAM\xe2\x80\x99s Steve Lipinski, Managing Principal of Insurance Consulting, breaks down the five emerging trends the insuran\xe2\x80\xa6 https://t.co/a0P5hnfYmi'"
1205110534556790784,2019-12-12 13:01:55,"b'Download our white paper that highlights how #LiquidityManagement and regulatory, macroeconomic and social changes\xe2\x80\xa6 https://t.co/zGjgsfYwV1'"
1205095410282438656,2019-12-12 12:01:50,"b'Check out our latest customer story to learn how EPAM helped Avgust implement a localized, yet unified SAP S/4HANA-\xe2\x80\xa6 https://t.co/dYCPiRqUNj'"
1205079781882109957,2019-12-12 10:59:43,b'RT @vvsevolodovich: @EPAMSYSTEMS at #mobiusconf https://t.co/kLFwUGgaGM'
1205079698562256898,2019-12-12 10:59:24,"b'RT @CMSCMedia: ""@acquia allows us to integrate very easily with our existing customers back-office suite of tools and whatever services and\xe2\x80\xa6'"
1204793659176210435,2019-12-11 16:02:46,b'We are excited to announce that EPAM has been positioned by Gartner as a Niche Player in the Magic Quadrant for Ins\xe2\x80\xa6 https://t.co/9KuoHIybBW'
1204778750539436033,2019-12-11 15:03:32,"b'There are several fields under the #AI umbrella, including one of the most rapidly evolving fields today\xe2\x80\x94\xe2\x80\xa6 https://t.co/EQ0ibeeHjE'"
1204763594841305088,2019-12-11 14:03:19,"b'With GCP Partner Specializations in Infrastructure and Application Development, EPAM reached another milestone in o\xe2\x80\xa6 https://t.co/aTFAYsnuUD'"
1204747817425817602,2019-12-11 13:00:37,b'EPAM @_Continuum and @RainDanceTech developed the RainDrop\xe2\x84\xa2 Digital PCR System\xe2\x80\x94the most sensitive bench-top bio-det\xe2\x80\xa6 https://t.co/8LmzFjGJBp'
1204733075965534213,2019-12-11 12:02:02,"b""In this video, EPAM's Patrick Allen discusses the surge of M&amp;A activity in the #healthcareindustry and the challeng\xe2\x80\xa6 https://t.co/W4qOr31U4i"""
1204717590830047232,2019-12-11 11:00:30,b'.@iluminage partnered with EPAM @_Continuum to bring clinical skin care into the home by creating a handheld laser\xe2\x80\xa6 https://t.co/6zIad7hCCi'
1204446475062849537,2019-12-10 17:03:11,"b'In this article, we uncover several crucial elements for developing a vision for claims process optimization in ins\xe2\x80\xa6 https://t.co/bKGMQ38NPS'"
